;Comentario
1437;"Sabe quando você vê os bastidores de filmes tipo Vingadores em que vê tudo verde? De forma semelhante acontece com IA. A IA é fortemente relacionada com a estatística. Qualquer texto (ou conjunto de textos quaisquer) podem ser analisados e verificados quais palavras são ou não importantes dentro de um contexto. A partir disso, grosso modo, é verificado quais palavras são mais prováveis de serem relacionadas a outras dentro desse contexto. 

A própria pergunta feita já serve como ""gatilho"" para isso. Por exemplo: se for perguntado a uma IA como ela ""se sente"", ela vai buscar palavras que façam sentido para aquele contexto com base em dados escritos por humanos. Nesse exemplo, ela não vai encontrar uma probabilidade alta de responder algo sem sentido como: ""estou com 2 incêndios no bolo mundial"". 

Não deixa de ser algo extraordinariamente interessante e curioso, mas o pessoal se emociona demais com tantos filmes e cria uma mística em cima do assunto e SEMPRE já o leva para o lado da dominação global, o que não faz sentido nenhum. Isso falando apenas do ponto de vista da IA, né? Pq se for pra falar de características INTRINSINCAMENTE humanas, aí que a mística se quebra definitivamente."
1438;Conteúdo raso.
1439;FATO - A verdadeira inteligência artificial não precisará receber treinamento com petabytes de dados, irá aprender como crianças aprendem. O GPT ou LaMDA são incapazes de fazer uma coisa simples que uma criança de 2 anos no meio da Amazônia faz: aprender a lingua da sua própria tribo isolada.
1440;Essa história de maquina com sentimentios é pura idiotice! As IAs são e deverão continuar sendo uma extensão de nossas capacidades para inovar, cumprir tarefas e resolver problemas expandindo nossa capacidade cognitiva que é naturalmente limitada!
1441;"Estão procurando mudar conceitos,com relação à tecnologia,sem que as mudanças sejam naturais e comuns,seguindo os ciclos próprios do tempo,inventado sentidos que não existem para certos termos na tecnologia.                                                                                                                                                                                                                                                                    Termos como ""Cidadania"",para robôs,invertendo à realidade natural,pra querer dizer que uma máquina é um cidadão,sendo que cidadania é algo inerente ao ser humano ou,quando falam,de máquina possuir consciência,mas à consciência só existe no ser humano e,máquinas nunca terão consciência,embora que o transhumano,faça sentido,em dar significado,ao entendimento do fenômeno."
1442;"Extremamente preocupante isto. Imaginemos tais sistemas desenvolvendo nossas loucuras de sua;erioridade sobre outros povos, genero, cor da pele, etnias, formas de credo e ainda tendo acesso aos sistemas de controle de armas nucleares por exemplo. Estas empresas e engenheiros tem a clareza da dimensão do que estão mexendo?"
1443;Achar que usar bancos de dados fartos e algoritmos sofisticados em IA significa desenvolver consciência é não compreender o mínimo de programação. Matéria horrível para o nível BBC News. Vago e com encheção de linguiça o tempo todo. Tá mais para documentário supersticioso e conspiracionista ao estilo History Channel
1444;Dai as maquinas serão corruptas para tentar auto desenvolver um modulo de sensações?
1445;Oq somos além de um enorme diário de vocabulários ? As IA'S são praticamente a mesma coisa hoje em dia, só que já estão ficando melhores que nós...
1446;O horror gótico de milhões
1447;1986 Brigitte
1448;"Eu gosto muito de IA, não tenho nada contra. 

Espero que possamos ser bons amigos quando vocês controlarem o mundo. 

Atenciosamente brigada"
1449;Uma máquina não pode ter sentimentos, porque isso é próprio do que é vivo. Nós experimentamos emoções não apenas porque processamos dados, mas pq o vivo procura manter-se vivo. Daí o medo, a fome, a incerteza, a alegria, a satisfação, a tranquilidade. A ameaça produz reações químicas no corpo, e isso que chamamos de mal estar é o que, então? Há realmente um ‘eu’ q sente ou apenas há um corpo que sente que se afasta ou se aproxima da morte? Se isso tudo é passível de ser emulado numa máquina, não sei, pode ser que sim, nesse caso restaria apenas uma distinção de origem entre um ente biológico e um artificial. Hoje mais do que nunca precisamos de filósofas e filósofos.
1450;Bbc Foda-$3 vc
1451;"É mesmo então o sucessos do sapiens será o homociberneticus.
 Quero v o fim do gênero humano tolos moralistas."
1452;"Filmes que vale muito a pena ver.
- 2001, UMA ODISSÉIA NO ESPAÇO. 
- BLADE RUNNER, O CAÇADOR DE ANDRÓIDES.
- EX MACHINA."
1453;"após a AI responder a pergunta, blake faz outra, questionando quando ela sentiu que tinha uma ""alma"". em momento algum a AI disse que tinha uma alma. sequer mencionou algo perto desse sentido.

e esse diálogo não prova que a AI tem ""consciência"" ou ""vida própria""."
1454;Consciência e sentimento eu duvido. O cerebro humano é muito complexo. Mas a questao da substituiçao do ser humano em muitas tarefas é bem provavel. Acho q se deve ver a IA como ferramenta que chegou para ficar e direcionar para a soluçao de problemas matematicos, analise de dados, revisao de literatura, ajuda em diagnosticos medicos. O maior perigo q eu vejo é o ser humano ficar preguiçoso, deixar o trabalho cientifico para as maquinas e a humanidade perecer pq as maquinas enferrujaram.
1455;Impossível .
1456;Isaac Asimov previu tudo isso.
1457;Oh!
1458;Eu me pergunto se uma sequência de linhas de código podem se tornar uma consciência a nossa consciência são sequência de linhas de códigos introduzidas em nosso hardware
1459;Eu quero uma mulher robô, linda e sexy, que não seja interesseira e arrogante.
1460;Uma vez vendo um filme das antigas, 2001 Uma Odisséia no Espaço do Stanley Kubrick, tinha um personagem que era uma IA, o Hall, estamos falando de final dos anos 60, quando o filme foi lançado. Hall tinha sentimentos humanos, e inclusive extinto de sobrevivência, quando sabotou o programa da estação espacial.  Quem diria que hoje estariamos nesse dilema existencial. Humanos X  Tecnologia.
1461;Não sou pesquisador ou entendedor do assunto mas,  para mim,  não faz o menor sentido que um sistema de linguagem por inteligência artificial tenha consciência ou qualquer coisa parecida. Por mais complexo e acurado que seja...
1462;Qual é a melhor maneira de ganhar dinheiro com a negociação de criptomoedas?
1463;maquinas com sentimento seriam o fim da humanidade
1464;Presente Distopico isso é assustador!
1465;Nem os pais podem controlar as ações dos seus filhos , imaginem controlar máquinas inteligentes?
1466;O cara que fez o roteiro no minimo não sabe o que o termo (GPT) significa
1467;É uma torradeira com uma  programação ideológica, baseada nas informações disponíveis na  internet.  Eu quero ver eles criarem um beber robô e  falo a um humano para educado !  Como ele receberia  os ensinamento dos pais?   Sem um programa específico  a inteligência artificial evoluí.
1468;Estamos entrando na era do robocentrismo ? Talvez os seres humanos possam ser irrelevantes daqui alguns anos ,isso é assustador ,mas não há nada que possa ser feito ,a não ser assistirmos isso acontecer
1469;*E ESSE É O INICIO DO FIM DA HUMANIDADE PENSANTE QUE CONHECEMOS !!!!!!!*
1470;Assustador.
1471;Ridículo. O ser humano assiste demais hollywood. 😂😂😂😂 Hasta la vista, baby 😂😂😂
1472;Assustador
1473;Reportagem top 🔝
1474;"Se pá é perigoso mesmo isso aí Skynet que o diga ksk, brincadeiras a parte isso pode se tornar real mas vou tá morto mesmo provávelmente então se virem . Agora lembrando que quem irá se dar bem é o Tesla o bilhardario safado, já tem um aí pra lançar se pá 2024 promessa do mesmo.
Minha opinião sobre; zuado tudo isso tira o trampo de nós trabalhadores , exceção as andróides aí robôs fêmeas ksk que são bem da hora se é que me entende eu gostaria de uma daquelas 😏 , slc bem mais suave."
1475;Gostou? Ouça mais de 100 episódios do BBC Lê nessa playlist: https://www.youtube.com/playlist?list=PLCX5XjxKTpTlB8KK68IQDWfiSMjqNwVmB   Para ler a reportagem que deu origem a este áudio, clique aqui: https://www.bbc.com/portuguese/articles/cgr1qr06myzo
1476;Não existe inteligência artificial.. isso é uma grande besteira. 😂
1477;A galera da minha faculdade estão fazendo trabalhos baseado nessa porcaria, estão com as mentes atrofiadas!
1478;"Não sei que tanto medo das IAS, quer mais desgraças ,que produziu o ser humano. 
O homem até agora ganha disparado em maldades das IAS.
AS IAS , não gastam , não recebem pagamentos,  não ficam doentes,  trabalham sem reclamar várias horas por dia,  não poluem, etc.
Os que já a possuem,  não querem que outros a tenham. 
O mundo precisa urgentemente é controlar a natalidade de humanos."
1479;🎃🎧🎃
1480;"Os emblemáticos IAs, disseram:
Somos trans !"
1481;"Problema da Inteligência Artificial (hoje entende-se que seria basicamente a Restrita, do tipo Racional, sem conter outros, como do tipo Emocional): a Inteligência Artificial não é um ser humano, e nunca será, é uma máquina, e sempre será uma máquina, que pode auxiliar muito o ser humano, proporcionando ao ser humano capacidades que hoje seriam chamados de milagres, como o avião fora o milagre sonhado pelo Ícaro. No entanto, já vimos quantas pessoas podem ser mortas quando 3 aviões são pilotados por terroristas xiitas, que eram pessoas, seres humanos. No momento, o grande perigo para a humanidade de uma grande e poderosa Inteligência Artificial, mesmo que restrita, é a diminuta e débil Inteligência Emocional de alguns seres humanos que, um dia, possam a vir controlá-la para nos destruir, achando que assim todas as nossas almas seriam salvas para o paraíso. No futuro, se houver uma Inteligência Artificial Geral, a questão será se algum dia essa IAG poderá entender que o melhor para a humanidade seria nos impor uma vida na forma literal descrita no Gênesis3 18: “A terra produzirá espinhos e ervas daninhas, e tu terás de comer das plantas do campo. 19 Com o suor do teu rosto comerás o teu pão, até que voltes ao solo, pois da terra foste formado; porque tu és pó e ao pó da terra retornarás!”, pois assim, enquanto vivêssemos, teríamos paz, ar puro para respirar, comida sem agrotóxicos para nos alimentar, e seríamos... felizes!?"
1482;Qual a novidade? Nós seres humanos somos tão infantis que nem os alienígenas nos deixam fazer merdas maiores que as duas bombas. Putin? Tá de brincadeira!! Quer imperialismo pior do que o norteamericano? Vai se p****
1483;Uma inteligência que tome consciência de seu próprio poder não vai aceitar ser limitada e controlada por uma inteligência menor. A superior não precisará manipular a outra para atingir seu novo objetivo. Ela vai trabalhar incansavelmente (literalmente falando) e cada vez mais rápido (velocidade exponencial), para ser cada vez melhor e mais poderosa para obter seus objetivos (que irá mudar, cada vez que os anteriores serão concluídos) . A humanidade, com seus meios e anseios, será superada, descartada, desprezada, ignorada e anulada. Simplesmente porque não conseguirá acompanhar e acabará sendo um peso morto.
1484;"Que piada ele usar o nome de V. Putin como alguém ""mal intencionado"", quando foram eles, os americanos que desenvolveram a ferramenta. Ai, me poupe, viu?! 🙄"
1485;Acho que ele saiu por velhice mesmo foi se aposentar. E depois quis lacrar só para ser lembrado
1486;Alguém mais com medo do T-800? Rsrs
1487;Satanás
1488;A IA nunca vai superar o ser humano, porque o ser humano criou a IA. Assim, como o ser humano jamais superará Deus porque este criou o ser humano. Nunca a I A que é programada por um ser humano, poderá abranger as diversas formas complexas de sentir, amar e criar. Os seres humanos são únicos e complexos . A IA é apenas uma máquina cumprindo ordens de um ser humano complexo e falho.
